cabinet_no,wafer_lot_no,wafer_box_no,wafer_box_type_id,date_time_in,put_in_by_en,date_time_out,take_out_by_en
31,HAHM67.1,0,pp,1/4/2026,170756,1/4/2026,416285.0
31,HAHT59.1,0,pp,1/4/2026,170756,1/4/2026,416285.0
31,HAHR33.1,0,pp,1/4/2026,170756,1/4/2026,416285.0
31,HAGX86.1,0,pp,1/4/2026,170756,1/4/2026,416285.0
31,HAAK05.1R,0,pp,1/4/2026,170756,,
38,HAHM63.1,0,pp,1/4/2026,170756,7/4/2026,466228.0
81,C533VJYY06,0,mm,1/4/2026,170756,1/4/2026,480999.0
81,C604E8L,0,mm,1/4/2026,170756,3/4/2026,371555.0
81,C538NT9Y06,0,mm,1/4/2026,170756,4/4/2026,205188.0
81,C605FL9V01,0,mm,1/4/2026,170756,8/4/2026,202642.0
81,C604EVT,0,mm,1/4/2026,170756,8/4/2026,202642.0
81,C604EVLV02,0,mm,1/4/2026,170756,11/4/2026,401346.0
81,C605FL7V01,0,mm,1/4/2026,170756,11/4/2026,371555.0
81,C605H3H,0,mm,1/4/2026,170756,11/4/2026,371555.0
81,1512NPC,0,mm,1/4/2026,170756,,
81,1531Y8FU01,0,mm,1/4/2026,170756,,
81,1512NPKV01,0,mm,1/4/2026,170756,,
81,C604EPPU01,0,mm,1/4/2026,170756,,
95,C533VK2Y03,0,mm,1/4/2026,170756,1/4/2026,416285.0
95,C538NT9,0,mm,1/4/2026,170756,1/4/2026,480999.0
95,C533VL4,0,mm,1/4/2026,170756,1/4/2026,480999.0
95,C535PJ4,0,mm,1/4/2026,170756,1/4/2026,480999.0
95,C605H3P,0,mm,1/4/2026,170756,11/4/2026,371555.0
95,C53PJS,0,mm,1/4/2026,170756,,
A16,844625.001,0,ddd,1/4/2026,170756,3/4/2026,202642.0
A17,5273604,0,xx,1/4/2026,170756,11/4/2026,371555.0
A30,5243081,0,xx,1/4/2026,170756,2/4/2026,401346.0
27,N90394,0,hh,1/4/2026,198147,10/4/2026,480999.0
28,6047065,0,pp,1/4/2026,198147,2/4/2026,416285.0
30,PW00431035,0,hh,1/4/2026,198147,,
30,PW00431088,0,hh,1/4/2026,198147,,
30,PW00431689,0,hh,1/4/2026,198147,,
30,PW00432226,0,hh,1/4/2026,198147,,
30,M000800273,0,hh,1/4/2026,198147,,
30,PW00431038,0,hh,1/4/2026,198147,,
34,254908-04,0,aa,1/4/2026,198147,2/4/2026,401346.0
34,254906-01,0,aa,1/4/2026,198147,2/4/2026,401346.0
34,260221-06,0,aa,1/4/2026,198147,2/4/2026,401346.0
34,QA0X501,0,ss,1/4/2026,198147,2/4/2026,401346.0
34,254908-06,0,aa,1/4/2026,198147,2/4/2026,401346.0
34,N7565200,0,hh,1/4/2026,198147,3/4/2026,401346.0
34,D3980000,0,ss,1/4/2026,198147,3/4/2026,170756.0
34,QA9W831,0,ss,1/4/2026,198147,9/4/2026,401346.0
34,260824-04,0,aa,1/4/2026,198147,9/4/2026,458441.0
34,254209-02,0,aa,1/4/2026,198147,,
34,255001--05,0,aa,1/4/2026,198147,,
34,1J6017640,0,kk,1/4/2026,198147,,
41,5343373,1,pp,1/4/2026,198147,3/4/2026,198147.0
41,5343373,2,pp,1/4/2026,198147,3/4/2026,198147.0
41,5261272,0,pp,1/4/2026,198147,3/4/2026,202642.0
48,GKPL59.1-15,0,uu,1/4/2026,198147,,
48,GKPL59.1-02,0,uu,1/4/2026,198147,,
48,GKPL59.1-17,0,uu,1/4/2026,198147,,
48,GKPL59.1-05,0,uu,1/4/2026,198147,,
48,GKPL59.1-01,0,uu,1/4/2026,198147,,
48,GKPL57.1-03,0,uu,1/4/2026,198147,,
48,GKPL57.1-01,0,uu,1/4/2026,198147,,
48,GKPL57.1-08,0,uu,1/4/2026,198147,,
86,FFSG14.1B,0,hh,1/4/2026,198147,2/4/2026,302223.0
86,W2605424.1,0,ff,1/4/2026,198147,4/4/2026,416285.0
174,HAHR29.1,0,pp,1/4/2026,198147,1/4/2026,416285.0
174,HAHA94.1,0,pp,1/4/2026,198147,1/4/2026,416285.0
174,HAGX90.2,0,pp,1/4/2026,198147,1/4/2026,416285.0
174,HAHM66.1,0,pp,1/4/2026,198147,1/4/2026,416285.0
174,HAGX87.1,0,pp,1/4/2026,198147,1/4/2026,416285.0
174,HANH90.1,0,pp,1/4/2026,198147,4/4/2026,371555.0
